PDHB,MTF1,LIPT1,LIAS,FDX1,DLD,DLAT,CDKN2A,cluster
7.884873937,8.127264703,5.566404783,6.373129743,7.951535044,8.834803088,7.764963637,6.041575153,0
7.877018619,7.989296716,6.223873053,6.092072062,7.337564856,8.737714281,7.076696928,5.623410558,0
8.069567744,8.210067987,5.902128961,5.57890038,8.13273025,8.98813499,7.467357973,6.412464236,0
8.012182942,8.227003706,5.985974231,6.841477409,7.205440999,8.707348605,7.514209879,6.012659036,0
8.079452959,8.045483418,6.046204458,6.280436615,7.121843649,8.966031826,7.653292733,5.835492149,0
8.097997791,7.780774529,6.053280276,6.236584066,7.334785498,8.645053658,7.855616119,5.900831071,0
7.868685829,7.808520599,6.311917754,6.712218466,7.21137651,9.396326084,7.101302098,5.637513437,0
7.993294688,7.941185116,5.683067654,6.092374103,7.541361214,8.576854465,7.445674446,6.567920076,0
8.153270989,8.138248694,5.837062456,6.219345958,7.428128324,8.896972741,7.074140257,5.830516818,0
7.950839203,8.938169985,6.224860048,6.049346358,7.512219316,8.784673634,7.693940082,6.092627969,0
7.947727971,7.591155986,6.496814916,6.187015975,7.754628657,8.980353056,7.38863106,6.02169638,0
8.157566966,8.638160845,6.258857344,6.151588622,7.260916555,9.169045214,7.259083845,6.739652154,0
8.236236322,8.229586813,5.815668153,6.078083798,7.399393417,9.213033565,7.576603746,5.600501484,0
8.177370589,7.204207616,5.664843487,6.473975069,7.456366964,9.239025979,6.959342064,5.777479507,0
7.862696994,7.997783593,6.55974293,6.537821848,7.557143291,8.738351047,7.423840854,6.962428592,0
7.949863831,8.227956248,5.00889096,6.012041414,7.775597905,8.750521689,7.434061976,6.616058166,0
8.158594681,8.135111592,5.430342749,5.931488003,7.412327867,9.061783596,7.692835897,6.85322219,0
8.040732995,8.506042056,5.397407649,6.362803723,7.597166302,8.472661682,6.824811195,5.707466874,0
8.020975332,8.228359755,5.851773389,6.075054677,7.302946953,9.263710535,7.780322184,6.255108469,0
8.154324428,7.494343815,6.253725176,6.713403938,7.611457629,9.133519141,7.657454749,6.511644757,1
8.135598037,8.557334765,6.007948993,7.006910529,7.438269186,9.924041758,8.006601087,5.458075431,1
8.109087076,8.177552038,6.006984725,6.047711427,7.771191655,9.519950913,8.133493097,6.140082936,1
8.629257528,7.281871969,6.414960578,6.66302782,7.622279732,9.343496607,7.92758942,6.29687066,1
8.365483197,8.216456242,5.973540639,6.934998947,8.035933302,9.333270212,7.9648102,6.49879836,1
8.32747997,7.849265352,6.466717944,6.317736056,7.691935938,9.074108694,7.549489835,6.034238223,1
8.341085703,7.415023188,6.512607818,6.350499286,7.532145444,9.170995578,7.821325263,6.438874673,1
8.196846078,8.664133307,5.829960631,6.676061118,7.592063597,9.277413119,7.540840806,5.631220656,1
8.359646098,8.91425455,5.96359047,6.450960775,7.356205185,9.387475919,7.539906052,5.792661274,1
8.28609772,7.482045668,6.08054311,6.27154557,7.498201783,9.160414494,7.896531623,5.920548502,1
8.424173565,8.042188926,6.087262899,6.423529806,8.284776661,9.460416971,7.983473325,6.330341102,1
8.620532754,8.569776302,5.255118635,6.440007393,7.768343976,9.109579772,7.884913199,5.877800663,1
8.547741984,8.830952401,5.715566558,6.628520104,7.914649848,9.262060245,7.621808765,6.239662553,1
8.468462081,6.946757842,6.433291683,6.82307747,7.696818426,9.308962512,8.012210209,5.553310009,1
8.576491241,7.10628938,5.979632067,6.775897059,7.841783518,9.405298694,7.807887356,6.427659406,1
8.04861789,8.833904279,6.055934519,6.640887577,7.612508191,9.247874111,7.701022932,5.392423863,1
8.227920613,8.423462565,5.974518276,6.92430107,7.518052154,9.870469323,7.853378081,5.587671727,1
8.303354541,7.882166137,6.293805392,5.822380622,7.998420119,9.645727456,7.406931079,6.277352097,1
8.463191359,7.189307916,5.591983272,6.918542869,7.560376963,9.4869415,8.138676104,6.080521254,1
8.26832878,7.233424248,6.14813145,6.913362184,7.382339971,9.27917867,7.626988506,5.787034757,1
8.359200354,8.12150459,5.924947001,6.626168903,7.360877793,9.365019273,7.798995017,5.630598809,1
8.255456762,8.958598159,5.860175133,6.275164602,7.61730325,9.431963932,7.857164122,5.784857357,1
8.445180144,8.281611895,6.223284308,7.193795065,7.740099123,9.75504173,8.092012266,5.719034275,1
8.822654372,7.705102524,6.650264132,7.360931291,7.613455073,9.83182738,8.18040888,5.060898214,1
8.29617023,8.573011458,5.860175133,6.272256329,7.737737607,9.446277831,7.705337136,5.652970846,1
8.564770953,8.317369795,6.624630573,6.945867366,7.217491807,9.757580548,7.96309937,5.824550649,1
8.759457493,8.155342581,6.491891872,6.960284973,7.783481264,9.631774636,7.994210221,5.985434952,1
8.385920659,8.689766556,6.217675037,6.299303826,7.463241676,9.445953869,7.836368974,6.097111406,1
8.618534103,8.323354333,5.845957543,7.094181388,7.983369252,9.855529468,8.724723813,5.640545532,1
8.406463348,8.43053614,6.320602613,6.593595126,7.303874818,9.57931889,7.771310884,5.724561131,1
7.980550064,8.629972048,6.629198468,6.160528038,7.564392289,9.374431295,7.773450294,5.782654934,1
8.09306256,8.145697088,5.936322279,6.576939781,7.666269978,9.520360076,7.773293016,5.886089059,1
8.041985044,8.356155245,6.696145022,6.600659359,7.542448516,9.281263604,7.596501942,5.813569735,1
8.26847083,7.105695671,6.12300916,6.665224983,8.001312721,8.908084395,6.992525049,6.047150906,1
8.636971162,7.36620081,5.821949674,6.459112628,7.585169245,8.952467507,7.694458827,6.280151438,1
8.751625867,7.398683127,5.752535689,6.313648034,7.944706779,8.764817174,7.545645805,6.674552837,1
8.480127796,7.831126916,6.340009526,6.457573382,7.58653201,9.190765632,7.495651789,6.031241122,1
8.292140193,8.388857988,6.497628012,6.517535742,7.915041043,9.345163387,7.30002762,6.020729502,1
8.82151943,7.47640619,6.261291933,6.462769065,7.685509698,9.173052893,7.651638308,5.869806429,1
8.247999511,7.42348558,6.540668067,6.72418538,7.317497553,8.881630283,7.731021062,5.675382331,1
8.361639267,7.817778109,6.111414312,6.431199992,7.736923217,9.252832304,7.606374131,6.006006469,1
8.498435168,7.04035399,6.12517585,6.299685908,7.667755682,9.067655232,7.556848837,5.791359694,1
8.022811176,7.868231373,5.987553424,6.49873225,7.659934882,9.409263935,8.407417782,6.526285153,1
8.110708265,7.755436271,5.959550951,6.512287783,7.506829962,9.380554538,7.550631312,5.879353991,1
8.765847911,7.644875342,5.870768353,5.849376468,7.496707691,9.443982276,7.37951227,6.048241815,1
8.097367118,8.670462907,6.21115961,6.538552264,7.596525619,9.376322017,7.52130927,5.992154471,1
8.349564572,7.722479338,6.660996921,6.804288635,7.691979549,9.302738632,7.477399387,6.05793032,1
8.342115234,8.416663592,6.008080581,6.700351747,8.096035379,9.270339081,7.920136839,6.059937366,1
8.287660377,7.818831527,6.525832584,7.229473508,7.831576293,8.784673634,7.527469363,7.77349212,1
8.656050916,8.442418587,6.049757642,6.536789391,7.751682564,9.104829671,7.850936301,6.661726913,1
8.368433677,8.218359726,6.381789987,6.372801564,7.774126172,8.845504534,7.487740933,6.29179625,1
8.306703108,8.406222021,6.193257391,6.453187982,7.452478227,8.937466602,8.195191931,6.252416434,1
8.184647578,7.863553007,5.865490277,7.236202628,7.313824127,9.334568355,8.029278863,6.192563061,1
8.430390215,8.482278137,5.772404849,6.118657461,7.652552583,9.502947503,7.886603702,5.814708514,1
